PeakID (cmd=annotatePeaks.pl ENCFF558YNC.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Peak_2554	chr5	147399516	147399886	+	229	NA	intron (NM_010229, intron 1 of 23)	intron (NM_010229, intron 1 of 23)	788	NM_010229	14255	Mm.194	NM_010229	ENSMUSG00000042817	Flt3	B230315G04|CD135|Flk-2|Flk2|Flt-3|Ly72|wmfl	FMS-like tyrosine kinase 3	protein-coding
Peak_2514	chr18	64348722	64349026	+	229	NA	intron (NM_194268, intron 1 of 1)	intron (NM_194268, intron 1 of 1)	8510	NM_194268	225631	Mm.234723	NM_194268	ENSMUSG00000045991	Onecut2	C730009D12|OC-2|Oc2	one cut domain, family member 2	protein-coding
Peak_2534	chr1	42954528	42954693	+	229	NA	intron (NM_053107, intron 1 of 1)	intron (NM_053107, intron 1 of 1)	1738	NM_053107	93690	Mm.444976	NM_053107	ENSMUSG00000041907	Gpr45	9230112G11Rik|AW046772	G protein-coupled receptor 45	protein-coding
Peak_2504	chr1	192855335	192855714	+	229	NA	5' UTR (NM_198247, exon 1 of 4)	5' UTR (NM_198247, exon 1 of 4)	228	NM_198247	214791	Mm.22806	NM_198247	ENSMUSG00000016262	Sertad4	4833404A09|C130018M11Rik	SERTA domain containing 4	protein-coding
Peak_2544	chr19	16875380	16876510	+	229	NA	Intergenic	Intergenic	-2115	NM_008023	14240	Mm.7971	NM_008023	ENSMUSG00000056829	Foxb2	Fkh4	forkhead box B2	protein-coding
Peak_2545	chr11	82929501	82929633	+	229	NA	intron (NM_178680, intron 13 of 19)	intron (NM_178680, intron 13 of 19)	18314	NM_178680	217012	Mm.295205	NM_178680	ENSMUSG00000018845	Unc45b	AA445617|Cmya4|D230041A13Rik|Unc45	unc-45 myosin chaperone B	protein-coding
Peak_2505	chr12	73048623	73048890	+	229	NA	Intergenic	Intergenic	-2044	NM_009189	20471	Mm.4645	NM_009189	ENSMUSG00000051367	Six1	BB138287	sine oculis-related homeobox 1	protein-coding
Peak_2517	chr11	82933597	82933870	+	229	NA	intron (NM_178680, intron 13 of 19)	intron (NM_178680, intron 13 of 19)	-18369	NM_183201	327978	Mm.42147	NM_183201	ENSMUSG00000054404	Slfn5	AI956840	schlafen 5	protein-coding
Peak_2522	chr5	120424430	120424583	+	229	NA	Intergenic	Intergenic	-7380	NM_008499	16873	Mm.5151	NM_008499	ENSMUSG00000029595	Lhx5	Lim2	LIM homeobox protein 5	protein-coding
Peak_2501	chr10	26077844	26078126	+	229	NA	promoter-TSS (NR_028030)	promoter-TSS (NR_028030)	-270	NR_028030	100040851	Mm.478630	NR_028030	ENSMUSG00000039098	Gm9767	-	predicted gene 9767	ncRNA
Peak_2541	chr1	42712695	42712831	+	229	NA	intron (NR_110495, intron 1 of 3)	intron (NR_110495, intron 1 of 3)	691	NR_110495	66620	Mm.383631	NR_110495	ENSMUSG00000097063	Pantr2	2610207O16Rik|Pou3f3os2|linc-Brn1b	POU domain, class 3, transcription factor 3 adjacent noncoding transcript 2	ncRNA
Peak_2518	chr14	65953830	65953964	+	229	NA	promoter-TSS (NM_172604)	promoter-TSS (NM_172604)	-153	NM_172604	219151	Mm.344095	NM_172604	ENSMUSG00000034463	Scara3	APC7|C130058N24Rik|CSR|CSR1|MSLR1|MSRL1	scavenger receptor class A, member 3	protein-coding
Peak_2538	chrX	71663786	71664359	+	229	NA	intron (NM_010340, intron 1 of 1)	intron (NM_010340, intron 1 of 1)	405	NM_010340	14765	Mm.33336	NM_010340	ENSMUSG00000056380	Gpr50	H9	G-protein-coupled receptor 50	protein-coding
Peak_2537	chr7	70351154	70351403	+	229	NA	TTS (NM_009697)	TTS (NM_009697)	9315	NM_009697	11819	Mm.158143	NM_009697	ENSMUSG00000030551	Nr2f2	2700033K02Rik|9430015G03Rik|ARP-1|Aporp1|COUP-TF2|COUP-TFII|COUPTFB|EAR3|SVP40|Tcfcoup2	nuclear receptor subfamily 2, group F, member 2	protein-coding
Peak_2515	chr2	18693025	18693271	+	229	NA	Intergenic	Intergenic	-5874	NM_001001334	381350	Mm.330024	NM_001001334	ENSMUSG00000037708	Spag6	Spag6l	sperm associated antigen 6	protein-coding
Peak_2535	chr17	17849337	17849742	+	229	NA	intron (NM_008215, intron 2 of 4)	intron (NM_008215, intron 2 of 4)	5649	NM_008215	15116	Mm.255701	NM_008215	ENSMUSG00000003665	Has1	HAS	hyaluronan synthase 1	protein-coding
Peak_2507	chr2	73270117	73270608	+	229	NA	Intergenic	Intergenic	-1564	NM_001005343	381373	Mm.330293	NM_001005343	ENSMUSG00000068859	Sp9	-	trans-acting transcription factor 9	protein-coding
Peak_2523	chr5	137288188	137288600	+	229	NA	intron (NM_009599, intron 1 of 4)	intron (NM_009599, intron 1 of 4)	140	NM_009599	11423	Mm.255464	NM_009599	ENSMUSG00000023328	Ache	-	acetylcholinesterase	protein-coding
Peak_2508	chr4	97777564	97777772	+	229	NA	promoter-TSS (NM_001122953)	promoter-TSS (NM_001122953)	42	NM_001122953	18027	Mm.31274	NM_010905	ENSMUSG00000028565	Nfia	1110047K16Rik|9430022M17Rik|CTF|NF1-A|NF1A	nuclear factor I/A	protein-coding
Peak_2511	chr8	108713958	108714081	+	229	NA	promoter-TSS (NM_007496)	promoter-TSS (NM_007496)	-625	NM_007496	11906	Mm.416972	NM_007496	ENSMUSG00000038872	Zfhx3	A230102L03Rik|Atbf1|Sci|WBP9|mKIAA4228	zinc finger homeobox 3	protein-coding
Peak_2548	chr13	45963625	45963969	+	229	NA	intron (NM_001199304, intron 1 of 6)	CpG	1194	NM_001199305	20238	Mm.342683	NM_009124	ENSMUSG00000046876	Atxn1	2900016G23Rik|Atx1|C85907|Gm10786|Sca1	ataxin 1	protein-coding
Peak_2526	chr9	95407071	95407227	+	229	NA	5' UTR (NM_018763, exon 1 of 2)	5' UTR (NM_018763, exon 1 of 2)	121	NM_018763	54371	Mm.212446	NM_018763	ENSMUSG00000033350	Chst2	AI428561|AW121776|C130041E03Rik|Chts2|GST-2|GlcNAc6ST|Gn6st	carbohydrate sulfotransferase 2	protein-coding
Peak_2520	chr18	11053693	11054925	+	229	NA	exon (NM_010258, exon 2 of 7)	exon (NM_010258, exon 2 of 7)	-1742	NR_105022	68434	Mm.57626	NR_105022	ENSMUSG00000097222	1010001N08Rik	Gata6as	RIKEN cDNA 1010001N08 gene	ncRNA
Peak_2529	chr10	115588136	115588968	+	229	NA	promoter-TSS (NM_010195)	promoter-TSS (NM_010195)	-772	NM_010195	14160	Mm.42103	NM_010195	ENSMUSG00000020140	Lgr5	FEX|Gpr49	leucine rich repeat containing G protein coupled receptor 5	protein-coding
Peak_2557	chr8	35825109	35825256	+	229	NA	3' UTR (NM_027998, exon 1 of 1)	3' UTR (NM_027998, exon 1 of 1)	1377	NM_027998	71908	Mm.37817	NM_027998	ENSMUSG00000055976	Cldn23	2310014B08Rik	claudin 23	protein-coding
Peak_2558	chr9	89911818	89911992	+	229	NA	intron (NM_001039655, intron 2 of 2)	intron (NM_001039655, intron 2 of 2)	2130	NM_001357744	19417	Mm.44561	NM_011245	ENSMUSG00000032356	Rasgrf1	AI844718|CDC25|CDC25Mm|Gnrp|Grf1|Grfbeta|P190-A|Ras-GRF1|p190|p190RhoGEF	RAS protein-specific guanine nucleotide-releasing factor 1	protein-coding
Peak_2555	chr5	29473484	29473671	+	229	NA	TTS (NM_019944)	TTS (NM_019944)	4893	NM_019944	15285	Mm.103760	NM_019944	ENSMUSG00000001566	Mnx1	HB9|Hlxb9|MNR2	motor neuron and pancreas homeobox 1	protein-coding
Peak_2551	chr2	148038646	148038995	+	229	NA	Intergenic	Intergenic	6644	NM_001291067	15376	Mm.938	NM_010446	ENSMUSG00000037025	Foxa2	HNF3-beta|HNF3beta|Hnf-3b|Hnf3b|Tcf-3b|Tcf3b	forkhead box A2	protein-coding
Peak_2527	chr15	72547550	72548244	+	229	NA	Intergenic	Intergenic	-1618	NM_001033876	223604	Mm.386856	NM_001033876	ENSMUSG00000036760	Kcnk9	Task3	potassium channel, subfamily K, member 9	protein-coding
Peak_2543	chr17	85611435	85611705	+	229	NA	non-coding (NR_015385, exon 3 of 3)	non-coding (NR_015385, exon 3 of 3)	6826	NR_038082	100043902	Mm.150838	NR_015385	ENSMUSG00000093460	Six3os1	D17Mgi26|E130112H22Rik|Rncr1|Six3os	SIX homeobox 3, opposite strand 1	ncRNA
Peak_2512	chr13	100109178	100109360	+	229	NA	intron (NM_011353, intron 2 of 2)	intron (NM_011353, intron 2 of 2)	1250	NM_011353	20365	Mm.286177	NM_011353	ENSMUSG00000021643	Serf1	4F5|Msmac1|m4F5	small EDRK-rich factor 1	protein-coding
Peak_2503	chr11	35121977	35122463	+	229	NA	intron (NM_011412, intron 1 of 35)	intron (NM_011412, intron 1 of 35)	764	NM_011412	20564	Mm.478604	NM_011412	ENSMUSG00000056427	Slit3	Slil2|Slit1|b2b2362.1Clo	slit guidance ligand 3	protein-coding
Peak_2532	chr11	35796444	35796588	+	229	NA	TTS (NM_001004147)	TTS (NM_001004147)	2368	NM_001004147	237730	Mm.189222	NM_001004147	ENSMUSG00000051062	Fbll1	AI595406	fibrillarin-like 1	protein-coding
Peak_2533	chr12	86221313	86221460	+	229	NA	Intergenic	Intergenic	-20472	NM_027405	70373	Mm.252967	NM_027405	ENSMUSG00000021254	Gpatch2l	1700020O03Rik|4732487G21Rik|A630090I05Rik|Kiaa1152	G patch domain containing 2 like	protein-coding
Peak_2521	chr19	48204626	48204961	+	229	NA	Intergenic	Intergenic	-1232	NM_025696	66673	Mm.70980	NM_025696	ENSMUSG00000063434	Sorcs3	6330404A12Rik|AW045579	sortilin-related VPS10 domain containing receptor 3	protein-coding
Peak_2513	chr11	96181928	96182600	+	229	NA	Intergenic	ID_B1|SINE|B4	-12052	NM_008267	15408	Mm.57221	NM_008267	ENSMUSG00000049604	Hoxb13	-	homeobox B13	protein-coding
Peak_2542	chr5	101544007	101544149	+	229	NA	Intergenic	Intergenic	120633	NM_144955	18096	Mm.193072	NM_144955	ENSMUSG00000035187	Nkx6-1	NKX6A|Nkx6.1	NK6 homeobox 1	protein-coding
Peak_2502	chr11	12034948	12035156	+	229	NA	intron (NM_010345, intron 1 of 16)	intron (NM_010345, intron 1 of 16)	2368	NM_010345	14783	Mm.273117	NM_010345	ENSMUSG00000020176	Grb10	5730571D09Rik|AI325020|Meg1|mKIAA0207	growth factor receptor bound protein 10	protein-coding
Peak_2525	chr8	17535933	17536476	+	229	NA	promoter-TSS (NM_053171)	promoter-TSS (NM_053171)	-819	NM_053171	94109	Mm.436988	NM_053171	ENSMUSG00000060924	Csmd1	B930082H09|mKIAA1890	CUB and Sushi multiple domains 1	protein-coding
Peak_2519	chr15	98002823	98003727	+	229	NA	intron (NM_031163, intron 1 of 53)	intron (NM_031163, intron 1 of 53)	1449	NM_001113515	12824	Mm.2423	NM_031163	ENSMUSG00000022483	Col2a1	Col2|Col2a|Col2a-1|Del1|Dmm|Lpk|Rgsc856	collagen, type II, alpha 1	protein-coding
Peak_2539	chrX	93295729	93296142	+	229	NA	intron (NM_007492, intron 4 of 4)	intron (NM_007492, intron 4 of 4)	9428	NM_007492	11878	Mm.275547	NM_007492	ENSMUSG00000035277	Arx	Arx1	aristaless related homeobox	protein-coding
Peak_2536	chr2	134787460	134787665	+	229	NA	intron (NM_001145830, intron 1 of 31)	intron (NM_001145830, intron 1 of 31)	1398	NM_019677	18795	Mm.330607	NM_019677	ENSMUSG00000051177	Plcb1	3110043I21Rik|AI132408|Plcb|mKIAA0581	phospholipase C, beta 1	protein-coding
Peak_2530	chr10	4712953	4713520	+	229	NA	intron (NM_001302531, intron 2 of 8)	intron (NM_001302531, intron 2 of 8)	3078	NM_001302533	13982	Mm.9213	NM_007956	ENSMUSG00000019768	Esr1	ER|ER-alpha|ERa|ERalpha|ESR|Estr|Estra|Nr3a1	estrogen receptor 1 (alpha)	protein-coding
Peak_2510	chr6	52219867	52220191	+	229	NA	Intergenic	Intergenic	-1456	NM_010455	15404	Mm.294826	NM_010455	ENSMUSG00000038236	Hoxa7	AV118143|Hox-1.1|M6	homeobox A7	protein-coding
Peak_2516	chr2	18695154	18695517	+	229	NA	Intergenic	Intergenic	-3687	NM_001001334	381350	Mm.330024	NM_001001334	ENSMUSG00000037708	Spag6	Spag6l	sperm associated antigen 6	protein-coding
Peak_2549	chr14	70080598	70081037	+	229	NA	3' UTR (NM_001289925, exon 3 of 3)	3' UTR (NM_001289925, exon 3 of 3)	3022	NM_001289927	13655	Mm.103737	NM_018781	ENSMUSG00000033730	Egr3	Pilot	early growth response 3	protein-coding
Peak_2509	chr6	126644842	126645123	+	229	NA	5' UTR (NM_010595, exon 1 of 2)	5' UTR (NM_010595, exon 1 of 2)	819	NM_010595	16485	Mm.40424	NM_010595	ENSMUSG00000047976	Kcna1	AI840627|Kca1-1|Kv1.1|MBK1|Mk-1|Shak|mceph	potassium voltage-gated channel, shaker-related subfamily, member 1	protein-coding
Peak_2553	chr4	107433684	107433972	+	229	NA	promoter-TSS (NM_147221)	promoter-TSS (NM_147221)	-891	NM_147221	230587	Mm.331757	NM_147221	ENSMUSG00000034762	Glis1	Gli5|Gli6|GliH1	GLIS family zinc finger 1	protein-coding
Peak_2540	chr2	74690964	74691273	+	229	NA	promoter-TSS (NM_013554)	promoter-TSS (NM_013554)	-773	NM_013554	15430	Mm.24420	NM_013554	ENSMUSG00000050368	Hoxd10	AI385591|AI874987|Hox-4.5|Hox-5.3	homeobox D10	protein-coding
Peak_2506	chr2	148045232	148045918	+	229	NA	promoter-TSS (NM_001291067)	promoter-TSS (NM_001291067)	-111	NM_001291067	15376	Mm.938	NM_010446	ENSMUSG00000037025	Foxa2	HNF3-beta|HNF3beta|Hnf-3b|Hnf3b|Tcf-3b|Tcf3b	forkhead box A2	protein-coding
Peak_2500	chr11	94991951	94992286	+	229	NA	exon (NM_172261, exon 1 of 10)	exon (NM_172261, exon 1 of 10)	906	NM_172261	217124	Mm.229087	NM_172261	ENSMUSG00000038976	Ppp1r9b	SPL|Spn	protein phosphatase 1, regulatory subunit 9B	protein-coding
Peak_2546	chr1	184999779	184999927	+	229	NA	promoter-TSS (NM_145515)	promoter-TSS (NM_145515)	-304	NM_145515	226778	Mm.7445	NM_145515	ENSMUSG00000026620	Mark1	AW491150|B930025N23Rik|Emk3|Par-1c|mKIAA1477|mPar-1c	MAP/microtubule affinity regulating kinase 1	protein-coding
Peak_2584	chr4	48125551	48125865	+	226	NA	intron (NM_026343, intron 1 of 7)	intron (NM_026343, intron 1 of 7)	789	NM_026343	67727	Mm.171334	NM_026343	ENSMUSG00000061455	Stx17	4833418L03Rik|6330411F21Rik|9030425C21Rik|AW048351	syntaxin 17	protein-coding
Peak_2564	chr2	116557865	116558281	+	226	NA	Intergenic	Intergenic	-320618	NM_001355572	67356	Mm.131623	NM_026104	ENSMUSG00000027355	Tmco5	1700095F04Rik|Tmco5a	transmembrane and coiled-coil domains 5	protein-coding
Peak_2594	chr15	103006018	103006715	+	226	NA	Intergenic	Intergenic	-3196	NM_010465	15425	Mm.4444	NM_010465	ENSMUSG00000001661	Hoxc6	Hox-3.3|Hox-6.1	homeobox C6	protein-coding
Peak_2604	chr11	119081806	119082212	+	226	NA	exon (NM_007625, exon 5 of 5)	exon (NM_007625, exon 5 of 5)	4228	NM_007625	12418	Mm.268070	NM_007625	ENSMUSG00000039989	Cbx4	MPc2|PC2	chromobox 4	protein-coding
Peak_2614	chr7	62464052	62464272	+	226	NA	exon (NM_013788, exon 1 of 1)	exon (NM_013788, exon 1 of 1)	348	NM_013788	27412	Mm.422745	NM_013788	ENSMUSG00000070526	Peg12	Frat3	paternally expressed 12	protein-coding
Peak_2574	chr16	18588213	18588464	+	226	NA	intron (NM_001285472, intron 1 of 8)	CpG	-1369	NM_001285476	21380	Mm.295194	NM_011532	ENSMUSG00000009097	Tbx1	-	T-box 1	protein-coding
Peak_2592	chrX	102251290	102251922	+	226	NA	promoter-TSS (NM_001276473)	promoter-TSS (NM_001276473)	237	NM_007709	12705	Mm.2390	NM_007709	ENSMUSG00000051159	Cited1	AI316840|AU019144|Msg1	Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1	protein-coding
Peak_2562	chr17	29237627	29238609	+	226	NA	promoter-TSS (NM_153166)	promoter-TSS (NM_153166)	-328	NM_153166	240058	Mm.39905	NM_153166	ENSMUSG00000024008	Cpne5	A830083G22Rik	copine V	protein-coding
Peak_2589	chr14	68124793	68125210	+	226	NA	promoter-TSS (NM_008691)	promoter-TSS (NM_008691)	3	NM_008691	18040	Mm.242832	NM_008691	ENSMUSG00000022054	Nefm	NF-M|NF160|NF165|Nef3|Nfm	neurofilament, medium polypeptide	protein-coding
Peak_2620	chr2	74723934	74724158	+	226	NA	intron (NM_010469, intron 3 of 5)	intron (NM_010469, intron 3 of 5)	-2024	NR_029566	387144		NR_029566	ENSMUSG00000065500	Mir10b	Mirn10b|mir-10b|mmu-mir-10b	microRNA 10b	ncRNA
Peak_2593	chr2	3050185	3050376	+	226	NA	Intergenic	ORR1A1|LTR|ERVL-MaLR	-63944	NM_001310434	269233	Mm.23044	NM_001081161	ENSMUSG00000050530	Fam171a1	9630050M13Rik|AA409679	family with sequence similarity 171, member A1	protein-coding
Peak_2563	chr8	8660264	8660448	+	226	NA	intron (NM_010111, intron 1 of 4)	CpG	417	NM_010111	13642	Mm.209813	NM_010111	ENSMUSG00000001300	Efnb2	ELF-2|Epl5|Eplg5|Htk-L|LERK-5|Lerk5|NLERK-1	ephrin B2	protein-coding
Peak_2586	chr11	18875714	18876492	+	226	NA	Intergenic	Intergenic	142866	NM_001193271	17268	Mm.356578	NM_010789	ENSMUSG00000020160	Meis1	C530044H18Rik|Evi8	Meis homeobox 1	protein-coding
Peak_2580	chr13	112989963	112990097	+	226	NA	exon (NM_001081062, exon 3 of 3)	exon (NM_001081062, exon 3 of 3)	2228	NM_001081062	218630	Mm.25457	NM_001081062	ENSMUSG00000042417	Ccno	C86987|Ccnu|E130318K11|UDG2|Ung2	cyclin O	protein-coding
Peak_2599	chr8	47412991	47413332	+	226	NA	Intergenic	CpG	-60813	NM_175162	71069	Mm.23973	NM_175162	ENSMUSG00000038143	Stox2	4933409N07Rik|AI449080|AI835114|mKIAA1392	storkhead box 2	protein-coding
Peak_2615	chr9	30942528	30943105	+	226	NA	5' UTR (NM_001326292, exon 1 of 8)	5' UTR (NM_001326292, exon 1 of 8)	254	NM_001326292	30806	Mm.100582	NM_013906	ENSMUSG00000031994	Adamts8	METH-2|METH2	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 8	protein-coding
Peak_2560	chr11	75193889	75194380	+	226	NA	5' UTR (NM_177708, exon 1 of 2)	5' UTR (NM_177708, exon 1 of 2)	141	NM_177708	237847	Mm.82661	NM_177708	ENSMUSG00000045287	Rtn4rl1	Ngr3|Ngrh2|Ngrl2	reticulon 4 receptor-like 1	protein-coding
Peak_2583	chr14	33447624	33447782	+	226	NA	promoter-TSS (NM_016700)	promoter-TSS (NM_016700)	-545	NM_001310454	26419	Mm.21495	NM_016700	ENSMUSG00000021936	Mapk8	AI849689|JNK|JNK1|Prkm8|SAPK1	mitogen-activated protein kinase 8	protein-coding
Peak_2566	chr7	142662365	142662698	+	226	NA	intron (NR_002855, intron 1 of 3)	intron (NR_002855, intron 1 of 3)	-1260	NM_001122736	16002	Mm.3862	NM_010514	ENSMUSG00000048583	Igf2	AL033362|Igf-2|Igf-II|M6pr|Mpr|Peg2	insulin-like growth factor 2	protein-coding
Peak_2575	chr17	29886406	29886684	+	226	NA	intron (NM_001081160, intron 1 of 15)	intron (NM_001081160, intron 1 of 15)	1337	NM_001081160	74762	Mm.40901	NM_001081160	ENSMUSG00000043557	Mdga1	1200011I03Rik|GPIM|Mamdc3	MAM domain containing glycosylphosphatidylinositol anchor 1	protein-coding
Peak_2569	chr5	75976184	75976521	+	226	NA	intron (NM_010612, intron 1 of 29)	intron (NM_010612, intron 1 of 29)	2076	NM_010612	16542	Mm.285	NM_010612	ENSMUSG00000062960	Kdr	6130401C07|Flk-1|Flk1|Krd-1|Ly73|VEGFR-2|VEGFR2|orv|sVEGFR-2	kinase insert domain protein receptor	protein-coding
Peak_2571	chr12	86990296	86990647	+	226	NA	Intergenic	CpG	-1795	NM_001080943	238331	Mm.185890	NM_001080943	ENSMUSG00000048483	Zdhhc22	Gm262	zinc finger, DHHC-type containing 22	protein-coding
Peak_2608	chr6	52212251	52212872	+	226	NA	intron (NR_015611, intron 2 of 2)	intron (NR_015611, intron 2 of 2)	506	NM_010452	15400	Mm.71533	NM_010452	ENSMUSG00000079560	Hoxa3	Hox-1.5|Mo-10	homeobox A3	protein-coding
Peak_2590	chr9	91387217	91387534	+	226	NA	3' UTR (NM_009576, exon 5 of 5)	3' UTR (NM_009576, exon 5 of 5)	18403	NM_009576	22774	Mm.8062	NM_009576	ENSMUSG00000036972	Zic4	-	zinc finger protein of the cerebellum 4	protein-coding
Peak_2611	chr7	108950886	108951080	+	226	NA	Intergenic	CpG	16568	NM_025344	66085	Mm.182962	NM_025344	ENSMUSG00000031029	Eif3f	0610037M02Rik|AA409853|Eif3s5	eukaryotic translation initiation factor 3, subunit F	protein-coding
Peak_2596	chr9	59576813	59576989	+	226	NA	Intergenic	B3|SINE|B2	-1436	NM_175235	76183	Mm.265415	NM_175235	ENSMUSG00000032297	Celf6	6330569O16Rik|Brunol6	CUGBP, Elav-like family member 6	protein-coding
Peak_2607	chr4	139825523	139825927	+	226	NA	intron (NM_011039, intron 4 of 8)	intron (NM_011039, intron 4 of 8)	7243	NM_011039	18509	Mm.218760	NM_011039	ENSMUSG00000028736	Pax7	Pax-7	paired box 7	protein-coding
Peak_2582	chr11	96177216	96177418	+	226	NA	Intergenic	Intergenic	-16999	NM_008267	15408	Mm.57221	NM_008267	ENSMUSG00000049604	Hoxb13	-	homeobox B13	protein-coding
Peak_2605	chr13	55830670	55830922	+	226	NA	exon (NM_011097, exon 1 of 3)	exon (NM_011097, exon 1 of 3)	629	NM_011097	18740	Mm.135195	NM_011097	ENSMUSG00000021506	Pitx1	Bft|P-OTX|Potx|Ptx1	paired-like homeodomain transcription factor 1	protein-coding
Peak_2601	chr9	32694800	32695107	+	226	NA	Intergenic	Intergenic	-1089	NM_001038642	23871	Mm.292415	NM_011808	ENSMUSG00000032035	Ets1	AI196000|AI448617|D230050P06|Ets-1|Tpl1|vs	E26 avian leukemia oncogene 1, 5' domain	protein-coding
Peak_2618	chr5	101540285	101540478	+	226	NA	Intergenic	Intergenic	124330	NM_144955	18096	Mm.193072	NM_144955	ENSMUSG00000035187	Nkx6-1	NKX6A|Nkx6.1	NK6 homeobox 1	protein-coding
Peak_2617	chr6	83067720	83068052	+	226	NA	TTS (NM_009392)	TTS (NM_009392)	2339	NM_009392	21909	Mm.37	NM_009392	ENSMUSG00000068327	Tlx2	Enx|Hox11L.1|Hox11l1|NCX|Ncx1|Tlx1l1|Tlx1l2	T cell leukemia, homeobox 2	protein-coding
Peak_2577	chr6	6863841	6864198	+	226	NA	non-coding (NR_002839, exon 1 of 1)	non-coding (NR_002839, exon 1 of 1)	685	NM_010057	13396	Mm.439763	NM_010057	ENSMUSG00000029754	Dlx6	-	distal-less homeobox 6	protein-coding
Peak_2578	chr8	22975877	22976050	+	226	NA	intron (NM_001110783, intron 1 of 43)	intron (NM_001110783, intron 1 of 43)	1127	NM_001277280	11733	Mm.334444	NM_031158	ENSMUSG00000031543	Ank1	Ank-1|nb|pale	ankyrin 1, erythroid	protein-coding
Peak_2559	chr11	103809491	103809700	+	226	NA	intron (NM_009521, intron 2 of 4)	intron (NM_009521, intron 2 of 4)	35420	NM_009521	22415	Mm.159091	NM_009521	ENSMUSG00000000125	Wnt3	Int-4|Wnt-3	wingless-type MMTV integration site family, member 3	protein-coding
Peak_2568	chr5	67229385	67229796	+	226	NA	Intergenic	Intergenic	-30975	NM_028975	67878	Mm.23217	NM_028975	ENSMUSG00000037720	Tmem33	1110006G02Rik|1600019D15Rik|2410089A21Rik|2700052H22Rik|5430406L04Rik|AA388285|AI314185|AI426615|db83	transmembrane protein 33	protein-coding
Peak_2567	chr9	69763582	69763921	+	226	NA	intron (NR_040765, intron 1 of 4)	intron (NR_040765, intron 1 of 4)	2605	NR_040765	319970	Mm.186434	NR_040765	ENSMUSG00000097623	B230323A14Rik	-	RIKEN cDNA B230323A14 gene	ncRNA
Peak_2609	chr6	84587104	84587999	+	226	NA	intron (NM_001177713, intron 2 of 6)	intron (NM_001177713, intron 2 of 6)	6259	NM_175475	232174	Mm.255246	NM_175475	ENSMUSG00000063415	Cyp26b1	CP26|P450RAI-2	cytochrome P450, family 26, subfamily b, polypeptide 1	protein-coding
Peak_2597	chr11	21996752	21996915	+	226	NA	exon (NM_011023, exon 5 of 5)	exon (NM_011023, exon 5 of 5)	4818	NM_011023	18423	Mm.129663	NM_011023	ENSMUSG00000005917	Otx1	A730044F23Rik|jv	orthodenticle homeobox 1	protein-coding
Peak_2606	chr4	124660806	124661030	+	226	NA	TTS (NM_011141)	TTS (NM_011141)	3272	NM_011141	18991	Mm.297371	NM_011141	ENSMUSG00000090125	Pou3f1	Oct-6|Oct6|Otf-6|Otf6|Scip|Test1|Tst-1|Tst1	POU domain, class 3, transcription factor 1	protein-coding
Peak_2600	chr11	52516134	52516258	+	226	NA	Intergenic	HAL1|LINE|L1	119768	NM_153117	213673	Mm.291979	NM_153117	ENSMUSG00000036275	9530068E07Rik	C85061|Kct2	RIKEN cDNA 9530068E07 gene	protein-coding
Peak_2595	chr2	122235813	122235986	+	226	NA	intron (NM_146126, intron 1 of 8)	intron (NM_146126, intron 1 of 8)	1060	NM_146126	20322	Mm.371580	NM_146126	ENSMUSG00000027227	Sord	Sdh-1|Sdh1|Sodh-1	sorbitol dehydrogenase	protein-coding
Peak_2619	chr7	70328001	70328444	+	226	NA	intron (NR_131144, intron 1 of 3)	intron (NR_131144, intron 1 of 3)	9600	NR_131145	624549	Mm.116344	NR_131144	ENSMUSG00000109097	Gm29683	Gm44536	predicted gene, 29683	ncRNA
Peak_2561	chr1	178530500	178530672	+	226	NA	exon (NM_001161665, exon 2 of 15)	exon (NM_001161665, exon 2 of 15)	1461	NM_001161665	269152	Mm.129727	NM_177724	ENSMUSG00000026494	Kif26b	4832420M10|BC056349|D230039L06Rik	kinesin family member 26B	protein-coding
Peak_2579	chr12	56697029	56697657	+	226	NA	intron (NM_011041, intron 2 of 3)	intron (NM_011041, intron 2 of 3)	1872	NM_011041	18511	Mm.5035	NM_011041	ENSMUSG00000001497	Pax9	Pax-9	paired box 9	protein-coding
Peak_2565	chr13	72630927	72631513	+	226	NA	intron (NM_010574, intron 2 of 4)	CpG-3998	2423	NM_010574	16372	Mm.28888	NM_010574	ENSMUSG00000001504	Irx2	-	Iroquois homeobox 2	protein-coding
